Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
4,120175,08/28/2013,1418,252471-1,252471-1,08/13G,08/28/2013,252471-1,100,3990,"","","",0,378.24
1,120175,08/28/2013,2431,252472-1,252472-1,08/13G,08/28/2013,252472-1,300,1201,"","","",0,512.2
2,120175,08/28/2013,2431,252472-1,252472-1,08/13G,08/28/2013,252472-1,100,1000,"","","",512.2,0
3,120175,08/28/2013,2431,252472-1,252472-1,08/13G,08/28/2013,252472-1,300,3990,"","","",512.2,0
4,120175,08/28/2013,2431,252472-1,252472-1,08/13G,08/28/2013,252472-1,100,3990,"","","",0,512.2
1,120175,08/28/2013,1640,252473-1,252473-1,08/13G,08/28/2013,252473-1,300,1201,"","","",0,646.16
2,120175,08/28/2013,1640,252473-1,252473-1,08/13G,08/28/2013,252473-1,100,1000,"","","",646.16,0
3,120175,08/28/2013,1640,252473-1,252473-1,08/13G,08/28/2013,252473-1,300,3990,"","","",646.16,0
4,120175,08/28/2013,1640,252473-1,252473-1,08/13G,08/28/2013,252473-1,100,3990,"","","",0,646.16
1,120175,08/28/2013,2191,252474-1,252474-1,08/13G,08/28/2013,252474-1,300,1201,"","","",0,1400.0
2,120175,08/28/2013,2191,252474-1,252474-1,08/13G,08/28/2013,252474-1,100,1000,"","","",1400.0,0
3,120175,08/28/2013,2191,252474-1,252474-1,08/13G,08/28/2013,252474-1,300,3990,"","","",1400.0,0
4,120175,08/28/2013,2191,252474-1,252474-1,08/13G,08/28/2013,252474-1,100,3990,"","","",0,1400.0
1,120175,08/28/2013,2636,252475-1,252475-1,08/13G,08/28/2013,252475-1,300,1201,"","","",0,335.2
2,120175,08/28/2013,2636,252475-1,252475-1,08/13G,08/28/2013,252475-1,100,1000,"","","",335.2,0
3,120175,08/28/2013,2636,252475-1,252475-1,08/13G,08/28/2013,252475-1,300,3990,"","","",335.2,0
4,120175,08/28/2013,2636,252475-1,252475-1,08/13G,08/28/2013,252475-1,100,3990,"","","",0,335.2
